Station ,Time,Year,Month,Day,Hour,Minute,Second,Lat (N) [degrees],Long (W) [degrees],Conductivity [mS/cm],Temperature [°C],Pressure [dbar],CDOM [ppb],Chlorophyll a [µg/L],Temperature 2 [°C],Dissolved O2 concentration [µmol/L],PAR [µmol/m²/s],Turbidity [NTU],Sea pressure [dbar],Depth [m],Salinity [PSU],Speed of sound [m/s],Specific conductivity [µS/cm],Dissolved O2 saturation [%],Density anomaly [kg/m³],
Hardman Lake,46196.690711805553,2026,6,23,16,34,37,50.365133,-96.844767,0.72442924976348877,19.633087158203125,10.851766586303711,42.780643463134766,6.368901252746582,19.622299194335938,211.7086181640625,20.378210067749023,95.506759643554688,0.71926689147949219,0.71340149641036987,0.39734393358230591,1481.7020263671875,807.17071533203125,74.201255798339844,-1.4121277046763225,
Hardman Lake,46196.690717592595,2026,6,23,16,34,38,50.365133,-96.844767,0.72388476133346558,19.633056640625,10.849968910217285,42.846206665039062,6.4822053909301758,19.622299194335938,210.71492004394531,20.536439895629883,94.262847900390625,0.71746921539306641,0.71161848306655884,0.39703544974327087,1481.70166015625,806.5645751953125,73.852806091308594,-1.4123655698551829,
Hardman Lake,46196.69072337963,2026,6,23,16,34,38,50.365133,-96.844767,0.72438853979110718,19.63299560546875,10.8519287109375,42.872879028320312,6.5942001342773438,19.62299919128418,210.71456909179688,20.692010879516602,94.570526123046875,0.71942901611328125,0.71356230974197388,0.39732170104980469,1481.70166015625,807.126953125,73.852714538574219,-1.4121253484402132,
Hardman Lake,46196.690729166665,2026,6,23,16,34,39,50.365133,-96.844767,0.72399121522903442,19.63299560546875,10.854428291320801,42.945003509521484,6.7465829849243164,19.62299919128418,211.78025817871094,20.608903884887695,95.14501953125,0.72192859649658203,0.71604150533676147,0.39709636569023132,1481.7015380859375,806.68426513671875,74.226119995117188,-1.4122861529114061,
Hardman Lake,46196.690734953707,2026,6,23,16,34,39,50.365133,-96.844767,0.72423368692398071,19.63287353515625,10.849202156066895,42.940532684326172,6.6761274337768555,19.622598648071289,211.78007507324219,20.587015151977539,98.18731689453125,0.71670246124267578,0.71085798740386963,0.39723497629165649,1481.7012939453125,806.95654296875,74.225936889648438,-1.4121793338312045,
Hardman Lake,46196.690740740742,2026,6,23,16,34,40,50.365133,-96.844767,0.72457319498062134,19.63275146484375,10.847710609436035,42.924884796142578,6.5138969421386719,19.622598648071289,211.77983093261719,20.681955337524414,95.852569580078125,0.71521091461181641,0.70937860012054443,0.39742851257324219,1481.7010498046875,807.33685302734375,74.225761413574219,-1.412013406043684,
Hardman Lake,46196.690746527776,2026,6,23,16,34,40,50.365133,-96.844767,0.72387385368347168,19.632598876953125,10.844213485717773,42.935466766357422,6.4815244674682617,19.623100280761719,211.476806640625,20.765066146850586,96.428558349609375,0.71171379089355469,0.70590996742248535,0.39703342318534851,1481.7000732421875,806.560302734375,74.119163513183594,-1.4123004578688096,
Hardman Lake,46196.690752314818,2026,6,23,16,34,41,50.365133,-96.844767,0.72420710325241089,19.63287353515625,10.852750778198242,42.887035369873047,6.5939388275146484,19.623100280761719,211.69511413574219,20.744363784790039,93.514556884765625,0.72025108337402344,0.71437764167785645,0.39721989631652832,1481.701171875,806.9268798828125,74.196151733398438,-1.4121745948411899,
Hardman Lake,46196.690758101853,2026,6,23,16,34,41,50.365133,-96.844767,0.72429788112640381,19.632965087890625,10.849252700805664,42.971675872802734,6.5133209228515625,19.624599456787109,211.69505310058594,20.17650032043457,97.96490478515625,0.71675300598144531,0.71090811491012573,0.39727050065994263,1481.7015380859375,807.0263671875,74.1962890625,-1.412170553774672,
Hardman Lake,46196.690763888888,2026,6,23,16,34,42,50.365133,-96.844767,0.72482043504714966,19.63275146484375,10.852066040039062,42.764698028564453,6.4755525588989258,19.624599456787109,211.69467163085938,21.156064987182617,95.308456420898438,0.71956634521484375,0.71369850635528564,0.39756870269775391,1481.7012939453125,807.61236572265625,74.19598388671875,-1.4118862688785612,
Hardman Lake,46196.690769675923,2026,6,23,16,34,42,50.365133,-96.844767,0.72406953573226929,19.6328125,10.842823028564453,42.794948577880859,6.9890117645263672,19.625598907470703,210.66897583007812,21.017644882202148,96.268798828125,0.71032333374023438,0.70453083515167236,0.3971424400806427,1481.7008056640625,806.77459716796875,73.836372375488281,-1.4122669118580689,
Hardman Lake,46196.690775462965,2026,6,23,16,34,43,50.365133,-96.844767,0.72447782754898071,19.63275146484375,10.849658012390137,42.703155517578125,6.7516117095947266,19.625598907470703,211.521728515625,20.464868545532227,95.456497192382812,0.71715831756591797,0.71131008863449097,0.39737445116043091,1481.7010498046875,807.23065185546875,74.135276794433594,-1.4120458074278304,
